Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Gabi Serranone,serranone_,São Paulo,1667,1,1,0,0,59634,9386,0,59634,R$0.02,0.00%,R$0.00,R$0.03,15.74%,0.00%,0,0,
Gabriela Araujo,gabiisteca,São Paulo,1667,1,1,0,0,42735,1905,0,42735,R$0.04,0.00%,R$0.00,R$0.04,4.46%,0.00%,0,0,
Gabrielly Gonzalez,uaigabrielly,São Paulo,1667,1,1,0,0,289290,45534,0,289290,R$0.01,0.00%,R$0.00,R$0.01,"15,88%",0.00%,0,0,
Luiza Carvalho,luizagcarvalho,São Paulo,1667,1,1,0,0,21335,829,0,21335,R$0.08,0.00%,R$0.00,R$0.08,3.89%,0.00%,0,0,
Maria Eugenia,magecampos,São Paulo,1667,1,1,0,0,5907,130,0,5907,R$0.28,0.00%,R$0.00,R$0.28,2.21%,0.00%,0,0,
Vee Castro,vidcg,São Paulo,1667,1,1,0,0,540,2,0,540,R$3.08,0.00%,R$0.00,R$3.09,0.02%,0.00%,0,0,
Yogo Costa,costa.yogo,São Paulo,1667,1,1,0,0,26119,611,0,26119,R$0.06,0.00%,R$0.00,R$0.06,2.34%,0.00%,0,0,
E ai Bora?,eai.bora_,São Paulo,1667,1,1,0,0,10389,450,0,10389,R$0.15,0.00%,R$0.00,R$0.16,4.34%,0.00%,0,0,
Paola Cassano,paolacassano_,São Paulo,1667,1,1,0,0,5374,103,0,5374,R$0.30,0.00%,R$0.00,R$0.31,1.93%,0.00%,0,0,
Paulo Gomez,paulogomiz,São Paulo,1667,1,1,0,0,8970,98,0,8970,R$0.18,0.00%,R$0.00,R$0.19,1.10%,0.00%,0,0,
Brenda Bernardo,_brebernardo,São Paulo,1667,1,1,0,0,13928,310,0,13928,R$0.12,0.00%,R$0.00,R$0.12,2.23%,0.00%,0,0,
Nicholas Torres,nicholas_torres,São Paulo,1667,1,1,0,0,56062,969,0,56062,R$0.03,0.00%,R$0.00,R$0.03,1.73%,0.00%,0,0,
Vinicius Mendes,vini07,São Paulo,1665,1,1,0,0,20234,1284,0,20234,R$0.08,0.00%,R$0.00,R$0.08,6.35%,0.00%,0,0,
Viih Tube,viihtube,São Paulo,100000,5,4,1,0,8483406,73603,11807,9545302,R$0.01,0.17%,R$0.12,R$0.01,0.62%,0.00%,0,0,
Antônio Maiolica,chefantoniomaiolica,São Paulo,28500,5,3,1,1,687643,75809,1813,886229,R$ 0.04,0.26%,R$ 0.06,R$ 0.04,11.02%,0.00%,0,0,
Gabriel Bruno,gabrielbruno,São Paulo,23625,7,6,1,0,918244,8364,8565,178120,R$ 0.03,0.93%,R$ 0.36,R$ 0.03,0.91%,0.00%,0,0,
Giorgio Barone,barone,São Paulo,96250,6,3,1,1,4812307,352541,47921,4791710,R$ 0.02,1.00%,R$ 0.50,R$ 0.02,7.33%,0.00%,0,0,
Livia Jacob,livjcb,São Paulo,20400,4,3,1,0,524119,16594,2623,548433,R$ 0.04,0.50%,R$ 0.13,R$ 0.04,3.17%,0.00%,0,0,
Maddu Cabral,madducabrall,São Paulo,5500,5,4,1,0,135943,3785,2288,175560,R$ 0.04,1.68%,R$ 0.42,R$ 0.04,2.78%,0.00%,0,0,
Pedro Mattos,biricuticus_,São Paulo,40725,4,3,1,0,252212,20035,4009,274256,R$ 0.15,1.59%,R$ 0.10,R$ 0.16,7.94%,0.00%,0,0,
Gianluca Lanzetta,gianzetta,São Paulo,0,5,3,1,1,63848,6871,482,59779,R$ 0.00,0.75%,R$ 0.00,R$ 0.00,10.76%,0.00%,0,0,
Mariane Xavier,mariane.xs,São Paulo,0,5,3,1,0,25717,1178,305,27408,R$ 0.00,1.19%,R$ 0.00,R$ 0.00,4.58%,0.00%,0,0,
Gaybol,gaybol,São Paulo,0,6,5,1,0,10079,604,11,11240,R$ 0.00,0.11%,R$ 0.00,R$ 0.00,5.99%,0.00%,0,0,
Maria Venture,mariaventure,São Paulo,5000,3,3,0,0,214718,2114,1505,152629,R$ 0.02,0.70%,R$ 0.30,R$ 0.02,0.98%,0.00%,0,0,
Eugênio,oeugeniomelo,São Paulo,12000,9,7,1,1,22744,1195,114,26719,R$ 0.50,0.50%,R$ 0.01,R$ 0.53,5.25%,0.00%,0,0,
Maria Bomani,eumaria,Rio de Janeiro,26000,4,2,1,1,49307,1674,313,60073,R$ 0.51,0.63%,R$ 0.01,R$ 0.53,3.40%,0.00%,0,0,
Narcisa Tamborindeguy,narcisat,São Paulo,48000,4,3,1,0,226601,17405,0,294574,R$ 0.20,0.00%,R$ 0.00,R$ 0.21,7.68%,0.00%,0,0,
Fernandinho Beatbox,bbxfernandinho,São Paulo,0,18,17,1,0,23351,969,0,23351,R$0.00,0.00%,R$0.00,R$0.00,6.47%,0.00%,0,0,
Bibi Tatto,bibitatto,São Paulo,0,4,3,0,1,240767,5337,177,235811,R$0.00,0.07%,R$0.00,R$0.00,3.50%,13.67%,0,0,
Kauana Hofema,kauhofem,São Paulo,0,1,0,1,0,143544,31389,323,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Duda Kropf,dudakropf,São Paulo,0,1,0,0,1,11575,880,0,20000,R$0.00,0.00%,R$0.00,R$0.00,7.60%,7.60%,0,0,
Bruno Magri,brunomagri,São Paulo,0,4,3,0,1,14366,103,10,14366,R$0.00,0.07%,R$0.00,R$0.00,1.97%,7.60%,0,0,
Gabrielle Stacenco,gabistacenco,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Gustavo Paz,guupaz,São Paulo,0,2,2,0,0,22830,70,47,22830,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Camila Loures,camilaloures,São Paulo,35000,4,3,1,0,1123691,23714,163,1152963,R$0.03,0.02%,R$94.47,R$0.03,1.67%,0.00%,0,0,
Caio Castro,caiocastro,São Paulo,54000,3,2,1,0,1211965,3600,0,1211965,R$0.23,0.00%,R$0.00,R$0.23,0.12%,0.00%,0,0,
João Guilherme,joaoguilherme,São Paulo,55000,5,4,1,0,812558,12045,0,812558,R$0.07,0.00%,R$0.00,R$0.07,1.48%,0.00%,0,0,
Criolo,criolomc,São Paulo,188000,12,10,2,0,192198,4511,67,192722,R$0.71,0.03%,"R$1,800.00",R$0.75,4.25%,0.00%,0,0,
Vanessa Lopes,vanessalopesr_,São Paulo,9000,1,0,1,0,102918,5754,0,114645,R$0.08,0.00%,R$0.00,R$0.09,5.59%,0.00%,0,0,
Rafa Brites,rafabrites,São Paulo,48000,10,9,1,0,10768786,2242,129,10771296,R$0.00,0.00%,R$372.09,R$0.00,0.02%,0.00%,0,0,
Felipe Andreoli,andreolifelipe,São Paulo,30000,10,8,2,0,131953,1404,117,127144,R$0.22,0.09%,R$256.41,R$0.23,1.06%,0.00%,0,0,
Fabio Porchat,fabioporchat,Rio de Janeiro,0,1,0,1,0,4718864,1667,0,4718864,R$0.00,0.00%,R$0.00,R$0.00,0.04%,0.00%,0,0,
Louise Estaniecki,louestaniecki,São Paulo,1200,8,7,1,0,240239,3510,408,264987,R$0.00,0.17%,R$2.94,R$0.00,1.46%,0.00%,0,0,
Ju Trevisol,juliannetrevisol,São Paulo,1200,7,6,1,0,143917,15047,374,160205,R$0.01,0.26%,R$3.21,R$0.01,10.46%,0.00%,0,0,
